episode,total_reward
1525,-74.0
1526,-110.0
1527,-34.0
1528,-127.0
1529,-160.0
1530,-49.0
1531,-138.0
1532,-223.0
1533,-7.0
1534,-145.0
1535,-156.0
1536,-138.0
1537,-47.0
1538,-275.0
1539,-184.0
1540,-55.0
1541,-206.0
1542,-93.0
1543,-105.0
1544,-214.0
1545,-64.0
1546,-199.0
1547,-201.0
1548,-11.0
1549,1.0
1550,-42.0
1551,-191.0
1552,-232.0
1553,-159.0
1554,-73.0
1555,-41.0
1556,-41.0
1557,-82.0
1558,-83.0
1559,-138.0
1560,-154.0
1561,-94.0
1562,-86.0
1563,-135.0
1564,-86.0
1565,-166.0
1566,-102.0
1567,-109.0
1568,-18.0
1569,-53.0
1570,-139.0
1571,-32.0
1572,-62.0
1573,-111.0
1574,-80.0
1575,-195.0
1576,-201.0
1577,-96.0
1578,-30.0
1579,-120.0
1580,-54.0
1581,-113.0
1582,-92.0
1583,-77.0
1584,-107.0
1585,-131.0
1586,-68.0
1587,-253.0
1588,-102.0
1589,-214.0
1590,-158.0
1591,-338.0
1592,-428.0
1593,-12.0
1594,-76.0
1595,-31.0
1596,-140.0
1597,-94.0
1598,-153.0
1599,10.0
1600,-132.0
1601,-34.0
1602,-120.0
1603,-25.0
1604,-53.0
1605,-148.0
1606,-110.0
1607,-116.0
1608,-147.0
1609,-133.0
1610,-79.0
1611,-165.0
1612,-117.0
1613,-143.0
1614,-25.0
1615,-66.0
1616,-12.0
1617,-53.0
1618,-187.0
1619,-99.0
1620,-69.0
1621,-77.0
1622,-97.0
1623,-35.0
1624,-62.0
1625,-69.0
1626,-153.0
1627,-51.0
1628,-106.0
1629,-240.0
1630,-34.0
1631,-74.0
1632,-200.0
1633,-11.0
1634,13.0
1635,-56.0
1636,2.0
1637,-44.0
1638,-206.0
1639,-157.0
1640,-89.0
1641,-98.0
1642,-48.0
1643,-47.0
1644,-84.0
1645,-74.0
1646,-67.0
1647,-84.0
1648,-29.0
1649,-209.0
1650,-184.0
1651,-172.0
1652,-120.0
1653,-33.0
1654,-144.0
1655,-46.0
1656,-141.0
1657,-108.0
1658,-102.0
1659,-55.0
1660,-236.0
1661,-61.0
1662,-34.0
1663,-59.0
1664,-142.0
1665,-24.0
1666,-34.0
1667,-83.0
1668,-67.0
1669,-115.0
1670,-28.0
1671,-13.0
1672,-32.0
1673,-83.0
1674,-53.0
1675,-134.0
1676,-36.0
1677,-118.0
1678,-30.0
1679,-118.0
1680,-1.0
1681,-35.0
1682,-208.0
1683,-116.0
1684,-74.0
1685,-186.0
1686,-33.0
1687,-137.0
1688,-27.0
1689,-103.0
1690,-14.0
1691,-95.0
1692,-156.0
1693,-97.0
